Designator	Empaquetado	Qty	Identificación	MPN/Seeed SKU	
C1,C2,C4,C10,C11,C15,C22,C23,C24	C_0805	9	100nF	302010165	https://statics3.seeedstudio.com/images/opl/datasheet/302010165.pdf
C3	CP_Tantalum_Case-A_EIA-3216-18_Reflow	1	10nF	302020002	https://statics3.seeedstudio.com/images/opl/datasheet/0130050P1.pdf
C5,C6,C13	C_0603	3	100nF	302010138	https://statics3.seeedstudio.com/images/opl/datasheet/0100020P1.pdf
C7,C9	CP_Elec_6.3x5.3	2	100uF	302030000	https://statics3.seeedstudio.com/images/opl/datasheet/302030000.pdf
C8	C_0805	1	3.3nF		
C12	C_0603	1	1uF	302010139	https://statics3.seeedstudio.com/images/opl/datasheet/0100340P1.pdf
C14	C_0603	1	10nF	302010286	https://statics3.seeedstudio.com/images/opl/datasheet/302010286.pdf
C16	C_0805	1	10nF	302010175	https://statics3.seeedstudio.com/images/opl/datasheet/302010175.pdf
C19,C20	C_0805	2	47pF		
D1	D_SMA	1	MBRA140		
D2	LED_0603	1	YELLOW	304090045	https://statics3.seeedstudio.com/images/opl/datasheet/0330060P1.pdf
D4	LED_0603	1	PURPLE	304090045	https://statics3.seeedstudio.com/images/opl/datasheet/0330060P1.pdf
F2	R_1812	1	500mA	307010040	https://statics3.seeedstudio.com/images/opl/datasheet/307010040.pdf
L1	L_Wuerth_WE-PD2-Typ-L	1	10uH		
L2	L_0805	1	60R 100M Ferrite		
LED1	LED_0805	1	RED		
LED2	LED_0805	1	GREEN		
Q1	SOT-323_SC-70	1	2N7002PW	305030028	https://statics3.seeedstudio.com/images/opl/datasheet/305030028.pdf
Q4,Q5	SOT-23	2	FDN340P	305030026	https://statics3.seeedstudio.com/images/opl/datasheet/305030026.pdf
R1,R2,R4,R5,R6,R8	R_0805	6	1k		
R3,R14,R15,R16,R17,R18,R20	R_0805	7	10k		
R7	R_0805	1	5K6 1%		
R9	R_0805	1	6.8k		
R10	R_0805	1	1k 1%		
R11	R_0805	1	100k	301010396	https://statics3.seeedstudio.com/images/opl/datasheet/resistance-series.pdf
R12,R13	R_0805	2	27R	301010366	https://statics3.seeedstudio.com/images/opl/datasheet/resistance-series.pdf
SW1	SW_SPDT_PCM12	1	SW_SPDT		
U1	SSOP-20	1	FT231XS		
U2	SOIC-8_3.9x4.9mm_Pitch1.27mm	1	LM358	310020021	https://statics3.seeedstudio.com/images/opl/datasheet/1110010P1.pdf
U3	SOT-223	1	AMS1117-3.3		
U4	TQFP-32_7x7mm_Pitch0.8mm	1	ATMEGA328P_TQFP	310010049	https://statics3.seeedstudio.com/images/opl/datasheet/1030060P1.pdf
U8	HTSOP-8-1EP_3.9x4.9mm_Pitch1.27mm_ThermalVias_LargeCopper	1	MP2307SO		
Y1	RESONATOR-SMD-3.2X1.3	1	16MHz	306030002	https://statics3.seeedstudio.com/images/opl/datasheet/306030002.pdf
J1	USB_Micro-B_Molex-105017-0001	1	USB_MICROB		
